Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanCost($),HeatingCost($),CoolingCost($),AnnualEnergy(kBtu),AnnualCost($),DeltaEnergyFromBase,DeltaCostFromBase
Clear/lowE(3)-VB75,270596.41,2233.8,106938.28,6161.02,86.02,887.59,237.26,115333.1,1210.87,-2824.915889339929,-122.30608900690186
Clear/lowE(3)-argon,16656019.18,2323.94,100050.44,8174.18,89.49,830.42,314.78,110548.56,1234.7,-7609.455889339937,-98.4760890069017
Clear/lowE(3)-argon-BBG-15,7836058.02,2395.13,113111.15,6846.78,92.24,938.82,263.67,122353.06,1294.72,4195.044110660063,-38.45608900690172
Clear/lowE(3)-argon-BBG-30,11271430.16,2356.14,109576.89,7004.17,90.73,909.49,269.73,118937.19,1269.95,779.1741106600675,-63.2260890069017
Clear/lowE(3)-argon-BBG-45,11782137.92,2308.26,107688.59,6810.19,88.89,893.82,262.26,116807.03,1244.96,-1350.985889339936,-88.21608900690171
Clear/lowE(3)-argon-BBG-60,7251391.11,2249.07,107584.13,6217.23,86.61,892.95,239.42,116050.43,1218.98,-2107.585889339942,-114.19608900690173
Clear/lowE(3)-argon-BBG-75,1884198.84,2170.12,108892.65,5187.8,83.57,903.81,199.78,116250.58,1187.16,-1907.435889339933,-146.01608900690167
Clear/lowE(3)-argon-BBG0,4725232.22,2407.64,115833.0,6544.47,92.72,961.41,252.02,124785.1,1306.16,6627.084110660071,-27.016089006901666
Clear/lowE(3)-argon-BBG15,2898636.46,2384.81,115964.91,6288.07,91.84,962.51,242.15,124637.79,1296.5,6479.774110660059,-36.67608900690175
Clear/lowE(3)-argon-BBG30,1597096.67,2328.45,114246.99,5978.5,89.67,948.25,230.23,122553.94,1268.15,4395.9241106600675,-65.02608900690166
Clear/lowE(3)-argon-BBG45,927891.45,2260.12,112418.44,5560.66,87.04,933.07,214.14,120239.22,1234.25,2081.2041106600664,-98.92608900690175
Clear/lowE(3)-argon-BBG60,508674.79,2192.79,111030.12,5080.45,84.44,921.55,195.65,118303.36,1201.64,145.34411066006578,-131.53608900690165
Clear/lowE(3)-argon-BBG75,216967.57,2136.0,110393.32,4586.8,82.26,916.26,176.64,117116.11,1175.16,-1041.9058893399342,-158.01608900690167
Clear/lowE(3)-argon-HTcellular,6385647.87,2232.2,101400.71,7022.24,85.96,841.63,270.42,110655.15,1198.01,-7502.865889339941,-135.16608900690176
Clear/lowE(3)-argon-LTcellular,2672963.68,2102.15,101572.67,5651.58,80.95,843.05,217.64,109326.41,1141.65,-8831.605889339931,-191.52608900690166
Clear/lowE(3)-argon-VB-15,8399277.54,2258.96,100173.1,7489.81,86.99,831.44,288.43,109921.87,1206.86,-8236.14588933994,-126.31608900690185
Clear/lowE(3)-argon-VB-30,11978524.39,2257.42,100166.4,7475.0,86.93,831.38,287.86,109898.83,1206.17,-8259.185889339933,-127.00608900690168
Clear/lowE(3)-argon-VB-45,12734825.52,2250.98,100774.43,7313.4,86.68,836.43,281.64,110338.8,1204.75,-7819.215889339932,-128.42608900690175
Clear/lowE(3)-argon-VB-60,8292512.13,2236.53,101898.21,6988.57,86.13,845.76,269.13,111123.31,1201.01,-7034.705889339937,-132.16608900690176
Clear/lowE(3)-argon-VB-75,2499014.6,2214.5,103310.8,6538.09,85.28,857.48,251.78,112063.39,1194.54,-6094.625889339935,-138.63608900690178
Clear/lowE(3)-argon-VB0,5205741.19,2256.73,100605.64,7399.4,86.91,835.03,284.95,110261.77,1206.88,-7896.245889339931,-126.29608900690164
Clear/lowE(3)-argon-VB15,3367227.21,2249.67,101207.75,7232.68,86.63,840.02,278.53,110690.1,1205.19,-7467.915889339929,-127.9860890069017
Clear/lowE(3)-argon-VB30,1944653.58,2239.41,101876.52,7022.07,86.24,845.58,270.42,111138.0,1202.23,-7020.015889339935,-130.94608900690173
Clear/lowE(3)-argon-VB45,1156503.68,2225.88,102573.22,6772.71,85.72,851.36,260.81,111571.82,1197.89,-6586.195889339928,-135.28608900690165
Clear/lowE(3)-argon-VB60,631130.88,2210.92,103283.96,6505.44,85.14,857.26,250.52,112000.32,1192.92,-6157.695889339928,-140.25608900690168
Clear/lowE(3)-argon-VB75,270596.41,2198.86,104018.68,6263.81,84.68,863.36,241.22,112481.35,1189.25,-5676.665889339929,-143.92608900690175
lowE(2)/Clear,16656019.18,2320.71,106397.37,7143.59,89.37,883.1,275.1,115861.67,1247.56,-2296.3458893399365,-85.6160890069018
lowE(2)/Clear-BBG-15,7905577.06,2442.83,121678.63,5975.67,94.07,1009.93,230.12,130097.13,1334.13,11939.11411066007,0.9539109930983614
lowE(2)/Clear-BBG-30,11373469.39,2396.36,118211.51,6047.6,92.28,981.16,232.89,126655.47,1306.33,8497.454110660066,-26.84608900690182
lowE(2)/Clear-BBG-45,11907533.9,2344.01,115527.2,5933.51,90.27,958.88,228.5,123804.73,1277.64,5646.714110660061,-55.53608900690165
lowE(2)/Clear-BBG-60,7337239.95,2286.99,113939.51,5595.63,88.07,945.7,215.49,121822.14,1249.25,3664.1241106600646,-83.92608900690175
lowE(2)/Clear-BBG-75,1880570.05,2222.88,113382.68,5015.94,85.6,941.08,193.16,120621.51,1219.84,2463.49411066006,-113.33608900690183
lowE(2)/Clear-BBG0,4772683.65,2460.54,123989.17,5790.17,94.75,1029.11,222.98,132239.89,1346.84,14081.87411066008,13.66391099309817
lowE(2)/Clear-BBG15,2928936.17,2439.43,123828.46,5596.7,93.94,1027.78,215.53,131864.59,1337.24,13706.574110660062,4.063910993098261
lowE(2)/Clear-BBG30,1613209.33,2384.95,121574.24,5391.22,91.84,1009.07,207.61,129350.41,1308.52,11192.394110660069,-24.656089006901766
lowE(2)/Clear-BBG45,927070.37,2320.23,118828.01,5157.06,89.35,986.27,198.6,126305.3,1274.22,8147.284110660068,-58.95608900690172
lowE(2)/Clear-BBG60,500322.38,2257.21,116316.88,4901.87,86.92,965.43,188.77,123475.96,1241.12,5317.944110660072,-92.05608900690186
lowE(2)/Clear-BBG75,213631.47,2204.52,114541.65,4635.24,84.9,950.7,178.5,121381.42,1214.09,3223.4041106600635,-119.08608900690183
lowE(2)/Clear-HTcellular,6476136.18,2217.1,106759.05,6015.25,85.38,886.1,231.64,114991.4,1203.12,-3166.6158893399406,-130.05608900690186
lowE(2)/Clear-LTcellular,2741559.43,2093.2,105524.65,4923.48,80.61,875.85,189.6,112541.33,1146.06,-5616.685889339933,-187.1160890069018
lowE(2)/Clear-VB-15,8427051.84,2245.31,105513.34,6505.66,86.47,875.76,250.53,114264.31,1212.76,-3893.705889339937,-120.41608900690176
lowE(2)/Clear-VB-30,12003307.76,2243.52,105467.37,6494.4,86.4,875.38,250.1,114205.28,1211.87,-3952.735889339936,-121.30608900690186
lowE(2)/Clear-VB-45,12770829.5,2237.85,106149.59,6327.71,86.18,881.04,243.68,114715.16,1210.9,-3442.8558893399313,-122.27608900690166
lowE(2)/Clear-VB-60,8369136.04,2224.81,107471.1,5982.77,85.68,892.01,230.39,115678.68,1208.08,-2479.335889339942,-125.09608900690182
lowE(2)/Clear-VB-75,2614454.84,2202.67,109212.49,5474.54,84.82,906.46,210.82,116889.69,1202.11,-1268.3258893399325,-131.06608900690185
lowE(2)/Clear-VB0,5244839.74,2243.8,106032.96,6407.75,86.41,880.07,246.76,114684.51,1213.24,-3473.50588933994,-119.93608900690174
lowE(2)/Clear-VB15,3423077.88,2237.63,106733.95,6232.91,86.17,885.89,240.03,115204.49,1212.09,-2953.5258893399296,-121.08608900690183
lowE(2)/Clear-VB30,2003243.57,2228.1,107507.56,6011.19,85.8,892.31,231.49,115746.84,1209.6,-2411.1758893399383,-123.57608900690184
lowE(2)/Clear-VB45,1207218.94,2214.85,108314.63,5744.93,85.29,899.01,221.23,116274.41,1205.54,-1883.6058893399313,-127.63608900690178
lowE(2)/Clear-VB60,669659.36,2199.65,109161.08,5451.27,84.71,906.04,209.93,116812.0,1200.67,-1346.0158893399348,-132.50608900690168
lowE(2)/Clear-VB75,293004.43,2186.84,110116.74,5163.93,84.21,913.97,198.86,117467.51,1197.04,-690.50588933994,-136.13608900690178
lowE(2)/Clear-argon,16656019.18,2269.52,102913.37,7167.33,87.4,854.18,276.01,112350.23,1217.59,-5807.785889339939,-115.58608900690183
lowE(2)/Clear-argon-BBG-15,7905577.06,2365.06,116347.72,6020.53,91.08,965.69,231.85,124733.3,1288.61,6575.284110660068,-44.56608900690185
lowE(2)/Clear-argon-BBG-30,11373469.39,2322.36,113082.5,6099.08,89.43,938.58,234.87,121503.94,1262.89,3345.9241106600675,-70.28608900690165
lowE(2)/Clear-argon-BBG-45,11907533.9,2275.08,110704.88,5988.52,87.61,918.85,230.62,118968.49,1237.08,810.4741106600704,-96.09608900690182
lowE(2)/Clear-argon-BBG-60,7337239.95,2223.84,109485.07,5651.89,85.64,908.73,217.65,117360.81,1212.02,-797.2058893399371,-121.15608900690177
lowE(2)/Clear-argon-BBG-75,1880570.05,2165.1,109285.99,5071.37,83.38,907.07,195.3,116522.46,1185.75,-1635.5558893399284,-147.42608900690175
lowE(2)/Clear-argon-BBG0,4772683.65,2381.11,118581.62,5830.49,91.7,984.23,224.53,126793.22,1300.45,8635.204110660066,-32.7260890069017
lowE(2)/Clear-argon-BBG15,2928936.17,2360.46,118448.2,5637.6,90.9,983.12,217.1,126446.25,1291.12,8288.234110660065,-42.05608900690186
lowE(2)/Clear-argon-BBG30,1613209.33,2309.06,116367.78,5436.36,88.92,965.85,209.35,124113.2,1264.13,5955.184110660062,-69.04608900690164
lowE(2)/Clear-argon-BBG45,927070.37,2249.46,113930.91,5205.87,86.63,945.63,200.48,121386.24,1232.73,3228.2241106600704,-100.44608900690173
lowE(2)/Clear-argon-BBG60,500322.38,2192.65,111819.6,4951.25,84.44,928.1,190.67,118963.5,1203.21,805.4841106600652,-129.9660890069017
lowE(2)/Clear-argon-BBG75,213631.47,2145.91,110444.49,4682.5,82.64,916.69,180.32,117272.9,1179.65,-885.1158893399406,-153.52608900690166
lowE(2)/Clear-argon-HTcellular,6476136.18,2180.23,104266.47,6030.47,83.96,865.41,232.23,112477.17,1181.6,-5680.845889339937,-151.57608900690184
lowE(2)/Clear-argon-LTcellular,2741559.43,2068.33,103832.05,4935.9,79.65,861.81,190.08,110836.28,1131.54,-7321.735889339936,-201.63608900690178
lowE(2)/Clear-argon-VB-15,8427051.84,2204.23,102759.81,6518.21,84.88,852.91,251.01,111482.25,1188.8,-6675.765889339935,-144.3760890069018
lowE(2)/Clear-argon-VB-30,12003307.76,2202.71,102725.48,6507.99,84.83,852.62,250.62,111436.17,1188.07,-6721.845889339937,-145.1060890069018
lowE(2)/Clear-argon-VB-45,12770829.5,2197.26,103427.46,6340.55,84.62,858.45,244.17,111965.28,1187.24,-6192.735889339936,-145.93608900690174
lowE(2)/Clear-argon-VB-60,8369136.04,2184.21,104765.28,5993.21,84.11,869.55,230.8,112942.71,1184.46,-5215.305889339928,-148.7160890069017
lowE(2)/Clear-argon-VB-75,2614454.84,2161.6,106498.76,5481.6,83.24,883.94,211.09,114141.96,1178.28,-4016.0558893399284,-154.89608900690178
lowE(2)/Clear-argon-VB0,5244839.74,2202.41,103277.64,6417.61,84.81,857.2,247.14,111897.67,1189.16,-6260.345889339937,-144.01608900690167
lowE(2)/Clear-argon-VB15,3423077.88,2196.18,103987.6,6240.77,84.57,863.1,240.33,112424.55,1188.0,-5733.465889339932,-145.17608900690175
lowE(2)/Clear-argon-VB30,2003243.57,2186.68,104772.06,6017.8,84.21,869.61,231.74,112976.53,1185.56,-5181.485889339936,-147.6160890069018
lowE(2)/Clear-argon-VB45,1207218.94,2173.55,105593.4,5750.67,83.7,876.43,221.46,113517.62,1181.58,-4640.3958893399395,-151.59608900690182
lowE(2)/Clear-argon-VB60,669659.36,2158.51,106452.39,5456.78,83.12,883.55,210.14,114067.68,1176.82,-4090.335889339942,-156.3560890069018
lowE(2)/Clear-argon-VB75,293004.43,2145.5,107398.21,5169.07,82.62,891.41,199.06,114712.78,1173.09,-3445.235889339936,-160.08608900690183
lowE(2)/Clear/lowE(5)-argon,12668586.83,2113.23,96530.76,6568.15,81.38,801.21,252.94,105212.14,1135.52,-12945.875889339935,-197.65608900690177
lowE(2)/Clear/lowE(5)-argon-BBG-15,6108394.27,2151.59,102926.91,5947.84,82.86,854.29,229.05,111026.33,1166.2,-7131.685889339933,-166.9760890069017
lowE(2)/Clear/lowE(5)-argon-BBG-30,8687387.81,2143.42,102553.66,5922.73,82.54,851.2,228.08,110619.8,1161.82,-7538.215889339932,-171.3560890069018
lowE(2)/Clear/lowE(5)-argon-BBG-45,9021560.14,2131.42,102713.78,5772.95,82.08,852.52,222.31,110618.15,1156.92,-7539.865889339941,-176.25608900690168
lowE(2)/Clear/lowE(5)-argon-BBG-60,5563207.45,2113.2,103295.51,5491.15,81.38,857.35,211.46,110899.86,1150.19,-7258.155889339934,-182.9860890069017
lowE(2)/Clear/lowE(5)-argon-BBG0,3717775.3,2153.45,103495.79,5876.65,82.93,859.02,226.31,111525.9,1168.25,-6632.115889339941,-164.92608900690175
lowE(2)/Clear/lowE(5)-argon-BBG15,2303149.53,2147.84,103918.99,5751.17,82.71,862.53,221.48,111818.0,1166.71,-6340.015889339935,-166.4660890069017
lowE(2)/Clear/lowE(5)-argon-BBG30,1287832.21,2134.87,104165.47,5577.37,82.21,864.57,214.78,111877.71,1161.57,-6280.305889339928,-171.6060890069018
lowE(2)/Clear/lowE(5)-argon-BBG45,752265.12,2117.0,104343.41,5363.02,81.52,866.05,206.53,111823.44,1154.1,-6334.5758893399325,-179.07608900690184
lowE(2)/Clear/lowE(5)-argon-BBG60,411972.45,2096.5,104488.84,5125.74,80.74,867.26,197.39,111711.09,1145.38,-6446.925889339938,-187.79608900690164
lowE(2)/Clear/lowE(5)-argon-HTcellular,4920868.57,2071.94,97706.16,5954.23,79.79,810.96,229.29,105732.33,1120.05,-12425.685889339933,-213.1260890069018
lowE(2)/Clear/lowE(5)-argon-LTcellular,2077494.95,2006.7,98662.43,5123.25,77.28,818.9,197.29,105792.38,1093.47,-12365.63588933993,-239.70608900690172
lowE(2)/Clear/lowE(5)-argon-VB-15,6489189.11,2087.0,96821.04,6250.6,80.37,803.61,240.71,105158.63,1124.69,-12999.38588933993,-208.4860890069017
lowE(2)/Clear/lowE(5)-argon-VB-30,9171150.78,2086.05,96859.13,6234.79,80.33,803.93,240.1,105179.96,1124.36,-12978.055889339928,-208.81608900690185
lowE(2)/Clear/lowE(5)-argon-VB-45,9684231.51,2082.73,97261.09,6136.76,80.21,807.27,236.32,105480.59,1123.8,-12677.425889339938,-209.3760890069018
lowE(2)/Clear/lowE(5)-argon-VB-60,6309188.68,2075.61,97965.31,5951.29,79.93,813.11,229.18,105992.22,1122.22,-12165.795889339934,-210.95608900690172
lowE(2)/Clear/lowE(5)-argon-VB0,4042308.62,2085.97,97041.45,6205.13,80.33,805.44,238.96,105332.55,1124.73,-12825.465889339932,-208.44608900690173
lowE(2)/Clear/lowE(5)-argon-VB15,2624762.97,2082.52,97403.72,6112.1,80.2,808.45,235.37,105598.34,1124.02,-12559.675889339938,-209.15608900690177
lowE(2)/Clear/lowE(5)-argon-VB30,1522856.59,2077.44,97833.08,5991.37,80.0,812.01,230.73,105901.89,1122.74,-12256.125889339935,-210.43608900690174
lowE(2)/Clear/lowE(5)-argon-VB45,910060.6,2070.65,98297.49,5847.11,79.74,815.87,225.17,106215.25,1120.78,-11942.765889339935,-212.39608900690178
lowE(2)/Clear/lowE(5)-argon-VB60,498846.5,2063.08,98767.51,5693.52,79.45,819.77,219.25,106524.11,1118.47,-11633.905889339934,-214.70608900690172
lowE(2)/lowE(4),16320816.63,2269.32,103213.08,7117.29,87.39,856.67,274.08,112599.7,1218.14,-5558.315889339938,-115.03608900690165
lowE(2)/lowE(4)-BBG-15,7743667.67,2316.19,114550.02,5798.4,89.2,950.77,223.29,122664.6,1263.25,4506.584110660071,-69.92608900690175
lowE(2)/lowE(4)-BBG-30,11137539.52,2284.93,112058.76,5872.5,87.99,930.09,226.15,120216.19,1244.23,2058.1741106600675,-88.94608900690173
lowE(2)/lowE(4)-BBG-45,11653689.42,2248.52,110472.19,5748.78,86.59,916.92,221.38,118469.5,1224.89,311.4841106600652,-108.28608900690165
lowE(2)/lowE(4)-BBG-60,7172519.43,2204.93,109875.84,5391.98,84.91,911.97,207.64,117472.76,1204.52,-685.25588933994,-128.65608900690177
lowE(2)/lowE(4)-BBG-75,1837122.38,2150.05,110069.35,4787.47,82.8,913.58,184.36,117006.86,1180.74,-1151.1558893399342,-152.43608900690174
lowE(2)/lowE(4)-BBG0,4673042.17,2327.23,116544.52,5594.3,89.62,967.32,215.43,124466.05,1272.37,6308.034110660068,-60.80608900690186
lowE(2)/lowE(4)-BBG15,2864384.59,2312.27,116881.91,5385.28,89.04,970.12,207.38,124579.46,1266.55,6421.444110660072,-66.6260890069018
lowE(2)/lowE(4)-BBG30,1574827.26,2272.79,115670.91,5168.62,87.52,960.07,199.04,123112.33,1246.63,4954.314110660067,-86.54608900690164
lowE(2)/lowE(4)-BBG45,904318.62,2223.73,113962.64,4931.05,85.63,945.89,189.89,121117.43,1221.42,2959.414110660058,-111.75608900690168
lowE(2)/lowE(4)-BBG60,487944.15,2174.43,112324.15,4678.53,83.74,932.29,180.17,119177.11,1196.19,1019.0941106600658,-136.9860890069017
lowE(2)/lowE(4)-BBG75,208198.04,2131.88,111172.6,4417.4,82.1,922.73,170.11,117721.88,1174.94,-436.13588933993015,-158.2360890069017
lowE(2)/lowE(4)-HTcellular,6327645.26,2163.65,103681.01,5950.44,83.32,860.55,229.15,111795.09,1173.02,-6362.925889339938,-160.15608900690177
lowE(2)/lowE(4)-LTcellular,2672322.86,2049.3,103039.12,4863.23,78.92,855.22,187.28,109951.65,1121.42,-8206.36588933994,-211.75608900690168
lowE(2)/lowE(4)-VB-15,8256001.13,2180.19,101772.9,6424.77,83.96,844.72,247.41,110377.85,1176.09,-7780.165889339929,-157.08608900690183
lowE(2)/lowE(4)-VB-30,11758431.24,2180.39,101822.26,6419.13,83.97,845.12,247.2,110421.78,1176.29,-7736.235889339936,-156.88608900690178
lowE(2)/lowE(4)-VB-45,12504263.96,2177.93,102663.52,6260.4,83.87,852.11,241.09,111101.85,1177.06,-7056.165889339929,-156.1160890069018
lowE(2)/lowE(4)-VB-60,8183004.63,2169.44,104192.66,5929.78,83.54,864.8,228.35,112291.88,1176.7,-5866.13588933993,-156.4760890069017
lowE(2)/lowE(4)-VB-75,2540759.77,2154.04,106193.77,5450.4,82.95,881.41,209.89,113798.22,1174.25,-4359.795889339934,-158.92608900690175
lowE(2)/lowE(4)-VB0,5134456.21,2177.68,102258.31,6322.11,83.86,848.74,243.46,110758.1,1176.07,-7399.915889339929,-157.1060890069018
lowE(2)/lowE(4)-VB15,3344783.82,2172.17,102999.32,6147.82,83.65,854.89,236.75,111319.31,1175.29,-6838.705889339937,-157.88608900690178
lowE(2)/lowE(4)-VB30,1952148.69,2164.45,103852.66,5932.33,83.35,861.98,228.45,111949.44,1173.78,-6208.5758893399325,-159.39608900690178
lowE(2)/lowE(4)-VB45,1173662.55,2154.54,104796.05,5679.01,82.97,869.81,218.7,112629.59,1171.47,-5528.425889339938,-161.70608900690172
lowE(2)/lowE(4)-VB60,649250.4,2144.3,105846.24,5404.48,82.58,878.52,208.12,113395.03,1169.22,-4762.985889339936,-163.95608900690172
lowE(2)/lowE(4)-VB75,283056.91,2138.19,107081.95,5142.34,82.34,888.78,198.03,114362.48,1169.15,-3795.535889339939,-164.02608900690166
lowE(2)/lowE(4)-argon,16320816.63,2224.1,100145.33,7136.78,85.65,831.21,274.83,109506.21,1191.69,-8651.805889339928,-141.4860890069017
lowE(2)/lowE(4)-argon-BBG-15,7743667.67,2259.94,110622.4,5842.54,87.03,918.17,224.99,118724.88,1230.19,566.8641106600699,-102.9860890069017
lowE(2)/lowE(4)-argon-BBG-30,11137539.52,2230.13,108196.52,5921.0,85.88,898.03,228.02,116347.66,1211.93,-1810.3558893399313,-121.24608900690168
